ID,SourceId,Organization,RoadwayName,DirectionOfTravel,Description,Reported,LastUpdated,StartDate,PlannedEndDate,LanesAffected,Latitude,Longitude,LatitudeSecondary,LongitudeSecondary,EventType,IsFullClosure,Comment,EncodedPolyline,Recurrence,RecurrenceSchedules,LinkId
402,2024-2010-1942207880,MTO-constructions,400,N/A,"Expect delays up to 15 minutes.
 Highway 400 between Langstaff and Major Mackenzie
 From July 27 to August 1 1. Closure of Highway 400 Major Mackenzie to Rutherford (4 lanes) Southbound, 2. 400 Rutherford to Bass Pro (4 lanes) Southbound, 3. 400 Rutherford to Bass Pro (4 lanes) Southbound, 4. 400 Bass Pro to Langstaff (5 lanes) Southbound, 5. 400 North of Langstaff to South of Langstaff  (5 lanes) Southbound, 6.400 Collector lanes at Langstaff (2 lanes) Southbound,7. Ramps on  Major Mackenzie East - South, Rutherford East-South, Rutherford West-South, Major Mackenzie West-South, 400 Southbound to Rutherford East/West, full closure, 8. 400 Major Mackenzie to Rutherford (4 lanes) Northbound, 9. 400 Rutherford to Bass Pro (4 lanes) Northbound, 9. 400 Rutherford to Bass Pro (4 lanes) Northbound, 10. 400 Bass Pro to Langstaff (5 lanes) Northbound, 11. 400 North of Langstaff to South of Langstaff  (5 lanes) Northbound, 12. 400 Collector lanes at Langstaff (2 lanes) Northbound. 12.400 Collector lanes at Langstaff (2 lanes). Full closure
 
 August 08, 2025 - August 15, 2025",2024-05-13T04:00:00+00:00,2025-08-07T13:27:58+00:00,2024-05-13T04:00:00+00:00,2027-08-27T04:00:00+00:00,No Data,43.8093334500409,-79.5434805357029,,,roadwork,False,"August 08, 2025 - August 15, 2025",iokjGvyndNK@mZnE_AJeALaCXuALqBPcCP}CP{Lj@yDNo@BgFXwKh@mWhAK?]BA?qBJiT~@qERyEToPr@sKf@kNn@mCPcBLoBRaBP{BXaEp@oC`@kBX,,,29618161
403,2024-2002-880348996,MTO-constructions,400,N/A,"Expect delays up to 5 minutes.
 Highway 400 Fesserton Sideroad Underpass
 From may 30 2025 to august 25 2025 1. Highway 48 & Baldwin Road: From Baldwin Road to 500 metres south of Baldwin Road, Temporary Construction Barrels  have been installed to secure the sidewalk along Highway 48 northbound lane. Both northbound and southbound lanes are open to traffic. The lane width is 3.5 metres, with a total available width of 4.0 metres. 2. highway 48 & Pefferlaw Road Intersection: Temporary Concrete Barriers have been installed to secure the work zone from Pefferlaw Road to Riverbank Drive. Both Northbound & Southbound lanes remain open to traffic, with a lane width of 3.5 metres and a total available width  of 4.0 metres
 
 August 08, 2025 - August 15, 2025",2024-04-18T04:00:00+00:00,2025-08-07T13:19:35+00:00,2024-04-18T04:00:00+00:00,2025-11-21T05:00:00+00:00,No Data,44.7670139845077,-79.6935374572589,,,roadwork,False,"August 08, 2025 - August 15, 2025",ypfpGrcleN,,,1191162835
404,2024-2031-1209539288,MTO-constructions,403,Northbound,"Expect delays up to 10 minutes.
 Highway 403 from 1.5 kilometres West of Freeman Interchange, in the City of Burlington
 From August 5, 2025, at 9:00 PM to August 7, 2025, at 5:00 AM. Expect to delay for 10 minutes. Closure of all two right lanes on Highway 403 Eastbound under King Road Bridge in the City of Burlington for structural rehabilitation. From August 7, 2025, at 9:00 PM to August 9, 2025, at 7:00 AM. Expect to delay for 10 minutes. Closure of all two left lanes on Highway 403 Eastbound under King Road Bridge in the City of Burlington for structural rehabilitation. From August 5, 2025, at 9:00 PM to August 7, 2025, at 6:00 AM. Expect to delay for 10 minutes. Closure of all two left lanes on Highway 403 Westbound under King Road Bridge in the City of Burlington for structural rehabilitation. From August 7, 2025, at 9:00 PM to August 9, 2025, at 8:00 AM. Expect to delay for 10 minutes. Closure of all two right lanes on Highway 403 Westbound under King Road Bridge in the City of Burlington for structural rehabilitation.
 
 August 08, 2025 - August 15, 2025",2024-07-25T04:00:00+00:00,2025-08-07T12:36:24+00:00,2024-07-25T04:00:00+00:00,2025-08-01T04:00:00+00:00,No Data,43.3288621853478,-79.8426024510166,,,roadwork,False,"August 08, 2025 - August 15, 2025",ktmgGfgifN,,,32990635
405,2024-2006-819281358,MTO-constructions,400,Northbound,"There is no impact on traffic.
 Highway 400 - North of 5th Line - approximatively 700 metres to  900 metres South of 9th Line.
 From July 22 2024 to November 03, 2028 1. Contract now in Stage 2A - Traffic lanes shifted to the outside shoulders at Simcoe Road 88 Structure; Southbound  from approx.1.2 kilometers south of 6th Line to just south of Simcoe Road. 88; northbound from approximately . 0.1 kilometers south of 6th Line to approximately . 0.2 kilometers north of 8th Line. speed reduced speed limit to 80 kilometers/hour 3. Lane Widths 3.50 meters; shoulder width reductions vary from 0.3 meters - 0.5 meters at Simcoe Road. Structure; to 1.0 meters - Northbound  & 1.0 meters to 2.0 meters Southbound (throughout current staging limits); Median shoulder widths 1.0 meters North/south  & 0.3 meters at Simcoe Road Structure (both directions) Full Closure of McKinstry East-North Ramp continues.
 
 August 08, 2025 - August 15, 2025",2024-06-24T04:00:00+00:00,2025-08-07T13:27:15+00:00,2024-06-24T04:00:00+00:00,2028-11-03T04:00:00+00:00,No Data,44.0855417135249,-79.6272633425573,,,roadwork,False,"August 08, 2025 - August 15, 2025",smalGje_eNct@bLea@lGUDk@HuXjE}`@jGcHfAqFz@sMrB,,,1267123437
406,2024-2024-264559871,MTO-constructions,9,Both Directions,"Expect delays up to 10 minutes.
 Highway 9 rehabilitation from Wolfe Road to Highway 27 and from Mountain View to Duffy's Lane
 From June 19, 2024, to December 14, 2025. Expect to delay for 0 to 10 minutes. On Highway 9, between Wolfe Road and Highway 27, and from Mountain View to Duffy’s Lane, rehabilitation work is ongoing. Westbound: 2 of 2 lanes available (7.5 meters total width) Eastbound: 1 of 2 lanes available (3.5 meters) plus variable-width left-turning lane Nightly paving operations: Alternating lane closures from 8:00 PM to 6:00 AM. In 2-lane zones, one 3.5-meter lane will be available; in 3 plus lane zones, one 3.5-meter lane in each direction will remain open during night work. Speed limit: Not reduced Height restriction: None Temporary concrete barriers (TCBs) are in place at the Highway 9 and 10th Sideroad intersection.
 
 August 08, 2025 - August 15, 2025",2024-06-03T04:00:00+00:00,2025-08-07T13:34:21+00:00,2024-06-03T04:00:00+00:00,2025-11-14T05:00:00+00:00,No Data,44.0110331,-79.6785659,,,roadwork,False,"August 08, 2025 - August 15, 2025",}{rkG`fieN^vC\xBd@~CR~AZxBRrAb@fD~@hH^tCZbCz@fGrApJf@pD~AdLhC`RNnA\fC`BpLHj@r@~EhBjMl@|ETrALhA`@~Cj@~Dn@bFlCvSjD`XXpB?@?@BNz@|GNhABN`BdMtBhPjBbOp@fF~ApLh@`Et@pFj@nE\`CZdCn@xEdAfIfB~MZ|Bn@zEx@nG`@vCn@~EnArJfAlIdAhIBLlAdJxB|PPnALdAh@hE|A|LzA~LJj@JhAX`CN~@L|@BXv@vFNnA`@bDTxAj@~Dj@tD\tB`@hCd@pCdA`HdBbMxAzKjBdN|C|UvDhYxD|YtApKtAzJbBhMt@nFZzBCPFp@@H??,,,29491401
408,2021-4090-1706202855,MTO-constructions,28,,"Expect delays up to 10 minutes.
 Highway 28 - Eel's Creek Bridge - from 1.2 kilometres to 2.45 kilometres north of Nordic Ski Lane
 Traffic will encounter a long duration single lane closure controlled by temporary traffic signals. Effective lane width 3.75 metres controlled by temporary concrete barrier. Reduced height 5.8 metres.
 
 August 08, 2025 - August 15, 2025",2024-05-19T04:00:00+00:00,2025-08-07T13:01:51+00:00,2024-05-19T04:00:00+00:00,2025-10-11T04:00:00+00:00,No Data,44.6405345907665,-78.1358943357345,,,roadwork,False,"August 08, 2025 - August 15, 2025",izmoGh|{{M,,,961851860
410,2024-5009-836493821,MTO-constructions,11,Northbound,"There is no impact on traffic.
 ONR Bridge Replacement, From 1.6 kilometres south of Highway 571 Northerly 1.7 kilometres to 0.1 kilometre north of Highway 571
 Detour to the North of the existing bridge through a field with a controlled railway crossing  (lights, alarm and arms). There is a 3.75 metres paved lane with 0.5 metre paved shoulder and 2.5 metres unpaved shoulder in both directions.
 
 August 08, 2025 - August 15, 2025",2024-05-27T04:00:00+00:00,2025-08-13T12:03:46+00:00,2024-05-27T04:00:00+00:00,2026-09-18T04:00:00+00:00,No Data,47.712518345778,-79.8155062971334,,,roadwork,False,"August 08, 2025 - August 15, 2025",gzebH|}cfN_AlBk@jAoFxKmGbMyA`Ca@f@eArAcAfAmAfAwAhAeAl@u@`@cBr@OFoAZoA^e@D_@JaCNmEJ_DAsK?cBAg@?,,,1190280503
414,2021-6049-1746554513,MTO-constructions,11,Both Directions,"Expect delays up to 20 minutes.
 Highway 11/17 from 0.3 kilometre east of Highway 587, easterly for 14.4 kilometres.
 Single lane closures controlled by personnel. Eastbound lane 3.75 metres total width 5.0 metres available. Speed reduced to 70 kilometres per hour
 
 August 08, 2025 - August 15, 2025",2022-05-16T04:00:00+00:00,2025-08-07T13:02:26+00:00,2022-05-16T04:00:00+00:00,2026-09-25T04:00:00+00:00,No Data,48.6825807780237,-88.6363278637759,,,roadwork,False,"August 08, 2025 - August 15, 2025",cichH`x~{OdE~D|AxAxGrGpKfKj@h@^ZPLZRt@b@`@P`@P`@Lb@Lb@Fh@HhBLh@FZBVDh@JbAXv@X|@h@l@\z@p@t@p@|@bAl@v@l@t@^l@nAlC`D`HxF|L|BzEhCzFrM~XtCpGjJdSv@bBpD|HjU~f@tEbKdB~D^bAZbAb@~Ar@fCj@~Bj@tBd@|AfBdFdLt[v@lCn@rCj@lCx@fE`E|S~@vEdAfFJf@TtAPfALrAHv@HhBDr@Bv@@fCClBAhA[bFy@fMObDMxDIxCMfI?lBHdCJtBHdAJbAFl@Hh@`@|B`O|q@^rBXlBPlAZ|C^tEjArONdCBt@HjBJbDb@vXJhDHbBL~AXlCJdA^`Cb@|B^~A`@zAv@hCjB`FtMj]v@hBz@bB~@~ATZ^j@h@t@~@fAlCrClHhHfSdS~BjCz@bAbBtBtEfGvGjInFbHdAvAxB~ChBtC`H`M|DfHlFjJ??nC|EbGrKdCjEj@x@`@h@xA`Br@x@x@t@r`@t`@d@d@t@r@~F~FjFrE`KrInDzCbC~B~A~A,,,835984545
415,2022-6003-115638558,MTO-constructions,11,Both Directions,"Expect delays up to 20 minutes.
 1.5 kilometres west of Highway 582 to Coughlin Road
 Single lane controlled by traffic controlled personnel.
 
 August 08, 2025 - August 15, 2025",2022-09-30T04:00:00+00:00,2025-08-07T13:10:15+00:00,2022-09-30T04:00:00+00:00,2025-09-26T04:00:00+00:00,No Data,48.8984884684497,-88.3976359119439,,,roadwork,False,"August 08, 2025 - August 15, 2025",qnmiHfdpzONx@\nBlCtN~@`FZ`BfBzJ|@~E~BjMNx@TbAVhAT`ARl@t@~BX|@`ArCzBrGtAbEf@vA~B`HXx@~@nCNd@~BvGt@xBd@tAf@tAd@zAh@vA`@`Ab@|@n@nAf@x@f@v@t@hAt@dAfAtAnJzL|BxCf@v@d@x@Vh@`@~@j@vAd@zAJ\Lh@VjAH^PbAJt@Hp@Ht@NbBLfBF|@p@~HtEjj@xA`QP|BN`BHdADl@RdChA`NTvCNpAFx@JdAd@zFpAtOd@vFLnB@f@BpA@pC@`CAtD?lE?jEAd\B|@Av@?xE?~D?bL?bD@dDHdDDhAVdDVlCVhBb@lC\fBf@rBl@tBz@~B,,,777992473
417,2022-3004-1960378828,MTO-constructions,401,N/A,"Expect delays up to 5 minutes.
 Wellington Road to Old Victoria Road (London). Highway 401 Westbound from 0.7 kilometre east of the Wellington road underpass to 4.05 kilometres east of the Highbury Avenue underpass in the city of London. 100 metres north of Bradley Avenue in the City of London to 100 metres south of the traffic signals at the Highbury Avenue interchange south ramp terminal in the City of London. Speed limit reduced to 80 kilometres per hour through construction area.
 Highway 401 Eastbound & Westbound, Wellington Road to Highbury Avenue, two 3.5 metre lanes, 0.5 metre median paved shoulder, and 2 metre outside paved shoulder. No height reductions. Speed reduced to 80 kilometres per hour.
 
 August 08, 2025 - August 15, 2025",2022-06-01T04:00:00+00:00,2025-08-13T22:30:12+00:00,2022-06-01T04:00:00+00:00,2027-08-31T04:00:00+00:00,No Data,42.9365700484772,-81.1793853108654,,,roadwork,False,"August 08, 2025 - August 15, 2025",q`aeGdjnnN@HpDtXf@|DV~AtAnKfB`Nn@xDl@zC,,,129876389
